bin,cont
79,0.0000
413,0.0000
462,0.0000
201,0.0000
518,0.0000
70,0.0000
87,0.0000
20,0.1183
105,0.0031
533,0.0000
366,0.2514
179,0.0000
192,0.0000
438,0.0000
159,0.3039
277,0.0000
292,0.0010
538,0.0000
343,0.4787
102,0.0000
499,0.3216
405,0.0000
228,0.0000
378,0.3464
558,0.5079
516,0.0000
11,0.0000
155,0.0000
280,0.0733
476,0.0000
478,0.0000
14,0.1995
327,0.0062
465,0.0219
337,0.0000
628,0.6590
523,0.0000
425,0.0249
166,0.0000
540,0.0159
42,0.3535
77,0.0000
456,0.0000
76,0.0059
298,0.0000
53,0.0000
560,0.0010
93,0.0000
158,0.7300
64,0.0324
68,0.0000
383,0.0000
595,0.0253
573,0.0000
385,0.0065
174,0.0000
605,0.3389
157,0.0000
537,0.0000
231,0.1005
447,0.0089
525,0.0112
554,0.0000
78,0.0000
254,0.0088
340,0.0000
632,0.4114
202,0.2021
455,0.2277
592,0.0000
571,0.1015
255,0.1685
370,0.0000
181,0.0007
112,0.0000
515,0.5664
532,0.0247
103,0.0085
386,0.0000
357,0.0462
130,0.0202
244,0.0000
329,0.0000
319,0.0000
574,0.0000
236,0.0000
587,0.3757
479,0.0184
154,0.0000
360,0.0412
321,0.4325
127,0.0022
553,0.0910
497,0.0145
173,0.0284
131,0.0050
204,0.0000
119,0.3276
419,0.0000
368,0.0000
256,0.0000
301,0.0000
415,0.0000
621,0.0000
99,0.0147
622,0.0000
355,0.6219
631,0.0000
325,0.2470
226,0.0494
500,0.1796
305,0.0068
450,0.5249
451,0.0000
44,0.0000
209,0.0000
243,0.0000
59,0.1433
347,0.3806
353,0.6747
440,0.0779
463,0.0000
579,0.0000
426,0.0000
63,0.0000
391,0.1878
147,0.0000
643,0.0000
260,0.0000
493,0.0000
640,0.0000
359,0.0077
491,0.0000
215,0.1208
429,0.0000
246,0.0000
291,0.0022
264,0.0000
580,0.0022
313,0.0326
245,0.0000
302,0.0024
600,0.0000
644,0.0000
100,0.0000
282,0.0116
578,0.6564
267,0.0000
294,0.6217
376,0.0000
572,0.0000
411,0.0000
21,0.0000
203,0.0000
249,0.3776
388,0.0044
648,0.0000
552,0.0000
486,0.0000
168,0.7408
211,0.0313
601,0.0000
629,0.1119
15,0.0000
52,0.7240
172,0.0000
569,0.0000
520,0.0000
401,0.0736
75,0.0000
208,0.0217
281,0.0000
107,0.4386
364,0.0000
178,0.0000
570,0.0000
536,0.0000
137,0.0000
396,0.4240
132,0.0093
322,0.0000
198,0.0000
133,0.0000
206,0.0000
37,0.0000
428,0.0000
480,0.0000
300,0.1067
97,0.3387
62,0.0000
412,0.4804
610,0.0000
433,0.0000
341,0.4693
424,0.0000
652,0.1617
162,0.0000
559,0.0413
275,0.0092
630,0.0256
606,0.0000
389,0.0013
58,0.0000
624,0.4703
251,0.6058
16,0.0317
452,0.0036
627,0.0000
563,0.4596
333,0.0319
285,0.1239
43,0.0064
136,0.0044
30,0.0000
445,0.0013
390,0.0970
581,0.0000
193,0.0180
55,0.4509
115,0.0000
84,0.0000
323,0.0174
612,0.4778
258,0.0547
457,0.0162
469,0.2967
346,0.0000
350,0.0007
286,0.0000
218,0.4483
66,0.0000
593,0.0000
636,0.4550
80,0.0028
140,0.5297
492,0.0000
54,0.0000
46,0.4275
392,0.0088
544,0.0000
180,0.0000
434,0.0000
287,0.0000
642,0.0000
384,0.0000
227,0.0734
73,0.0011
289,0.0000
199,0.0181
526,0.3811
161,0.1385
240,0.2049
124,0.0141
472,0.0000
562,0.0000
529,0.0000
314,0.7120
82,0.3013
647,0.0000
141,0.0162
92,0.0000
336,0.0036
607,0.0000
22,0.0000
74,0.0741
270,0.0000
143,0.0000
8,0.0000
310,0.0447
39,0.0118
613,0.0000
151,0.0000
67,0.0000
547,0.0000
439,0.0000
135,0.1970
494,0.7683
468,0.1937
459,0.0000
101,0.0041
432,0.0000
12,0.0000
129,0.4643
113,0.0000
608,0.0000
239,0.0000
81,0.0000
262,0.5132
436,0.0953
27,0.0000
149,0.6623
363,0.0486
406,0.7917
588,0.0009
96,0.0000
585,0.0952
13,0.2364
317,0.0000
114,0.0000
32,0.0000
216,0.0000
296,0.3353
273,0.0034
38,0.0000
512,0.0207
638,0.0000
510,0.0000
139,0.0035
307,0.3591
259,0.0011
88,0.0000
474,0.0185
152,0.0000
263,0.0000
626,0.0000
169,0.4051
126,0.6154
635,0.0695
213,0.0000
555,0.3027
481,0.2821
519,0.0000
242,0.4773
31,0.0000
94,0.2700
297,0.0000
235,0.0089
649,0.0000
118,0.2358
349,0.0000
461,0.0132
220,0.0000
25,0.0219
362,0.2085
584,0.0071
5,0.0000
543,0.0248
274,0.0000
466,0.0079
564,0.0038
6,0.0000
598,0.0000
